ticker,weight
A,0.0
AAPL,0.0
ABBV,0.0
ABT,0.0
ACGL,0.0
ACN,1.578592741778258e-08
ADBE,0.0003721275468460037
ADI,0.014182630346995205
ADM,0.02540194710567035
ADP,6.691768678540734e-06
ADSK,3.103400654186562e-05
AEE,0.0
AEP,0.0
AES,0.0
AFL,0.0
AIG,0.0
AIZ,0.0
AJG,0.0606469378624745
AKAM,0.0
ALB,5.090656914838267e-05
ALGN,4.731568579204717e-06
ALL,0.0
ALLE,5.970558132870261e-07
AMAT,2.6428030259102526e-13
AMCR,3.735582489398332e-07
AMD,0.045619863428582576
AME,0.00023218239669289505
AMGN,0.007334184854082764
AMP,0.0033965609562552255
AMT,0.0
AMZN,0.0
ANET,0.0018143055625919116
AON,0.009105257030313021
AOS,0.0
APA,4.8459157028264957e-17
APD,0.0
APH,0.0
APO,0.0
APTV,0.0
ARE,1.5940804498007735e-06
ARES,0.021622277201174378
ATO,0.0007016463493716741
AVB,0.0
AVGO,0.0
AVY,9.729047191183193e-10
AWK,0.0
AXON,1.169998668939685e-05
AXP,6.296442553335488e-07
AZO,0.0
BA,2.747107077653243e-13
BAC,0.0
BALL,0.0
BAX,0.0
BBY,0.0
BDX,7.750329958759023e-05
BF-B,0.0
BG,0.0
BIIB,0.0
BK,0.0
BKNG,0.0
BKR,7.957680446801091e-09
BLDR,0.0
BLK,0.0
BMY,0.00026140369440452895
BR,0.009349516973950873
BRK-B,0.0
BRO,0.0
BSX,6.252606455639623e-05
BX,1.583462117945751e-05
BXP,0.00918785329401674
CAH,0.008905023601145812
CAT,0.0
CBOE,0.0
CBRE,0.0
CCL,0.0
CDNS,2.271666154986985e-07
CDW,1.5904821120398993e-13
CF,0.03034932962340138
CHRW,0.0
CHTR,0.0
CNC,0.003700533999157065
CNP,0.0
COF,0.0
COR,0.0001625805094997877
CPB,0.0
CPT,0.0
CRL,0.0
GOOG,0.00042275064446072253
GOOGL,0.003285212234218847
LNT,0.0
MMM,0.0
MO,0.0
SCHW,0.0
T,1.1592111392460794e-05
TECH,0.000639574737413236
XYZ,0.0
C,0.0
CAG,0.0
CB,0.0
CCI,0.0
CFG,6.912598500138252e-07
CHD,0.009200696217927688
CI,0.0
CIEN,0.0
CINF,0.0
CL,0.0
CLX,5.071125030709557e-05
CMCSA,0.0
CME,0.0024097481829738567
CMG,0.0
CMI,0.0
CMS,0.0
COHR,6.880520275579206e-13
COO,0.0
COP,0.0
COST,0.0
CPAY,0.0
CPRT,0.0
CRH,4.563330266777769e-05
CSCO,0.0
CSGP,0.0
CSX,0.0
CTAS,0.0
CTRA,8.660011690032046e-05
CTSH,8.918643467917438e-06
CVS,0.0
CVX,9.690389867076137e-08
D,0.0006102745749524418
DAL,0.000582856231560853
DD,0.010433778924392248
DE,0.0
DECK,0.0
DG,0.0
DHI,0.0
DHR,0.0
DLR,0.0
DLTR,0.0
DOV,0.0
DPZ,0.0
DRI,0.0
DTE,5.077877657302599e-06
DUK,0.0
DVA,0.0
DVN,0.0
DXCM,0.013273798806995826
EA,9.093162268851573e-05
EBAY,0.0015958538699240982
ECL,4.045664725126994e-05
ED,2.812443970968878e-07
EFX,0.0
EG,1.8438072703285783e-05
EIX,0.0
EL,0.0
ELV,0.0
